Text,translated_text
"আমাকে প্রতিটা রাজাকার হত্যা করার সুযোগ দেন... খুশীতে ফাঁসির মঞ্চে দাড়াইয়া কইতে পারুম জয় বাংলা :)
",Give me a chance to kill every Razakar... I can happily stand on the gallows and say Jai Bangla :)
"আমার বোনের মতো বোন কয়জনের আছে? আসলেই আমি খুব লাকি। @ismsharika :) <3 love you puchu <3 :) :) :)
",How many sisters like my sister? I am very lucky indeed. @ismsharika :) <3 love you puchu <3 :) :) :)
"আহা রে !! কি শান্তির ঘুম !!! # স্যার উডেন এলা, কাজে যাওনের সময় হইছে ! pic.twitter.com/Gs6IIkPxyE
","Aha!! What a peaceful sleep!!! # Sir Wooden Ella, it's time to go to work! pic.twitter.com/Gs6IIkPxyE"
"আহহ! শান্তি :)
",Ahhh! peace :)
"জন্মদিন উপলক্ষ করে যদি সারাদিন প্রিয় কবির কবিতা রিভাইস দেয়া যায়, দারুন হয় ব্যাপারটা! https://www.facebook.com/noirit/notes
","On the occasion of birthday, if you can revise the favorite poet's poem all day, it is great! https://www.facebook.com/noirit/notes"
"সকল রাজাকারদেরই শুধু ফাঁসির রায়েই সীমাবদ্ধ না থেকে সাথে সাথে তা কার্যকর হোক। স্লোগান একটাই ""জয় বাংলা,জয় বঙ্গবন্ধু"" :)
","It should not be limited to death sentence for all Razakars but it should be implemented immediately. The slogan is only ""Joy Bangla, Joy Bangabandhu"" :)"
"এই প্রথম বার একটা ডকুমেন্টারি তৈরি করলাম তা ও Rubel ভাই এর কল্যাণে... :) অসংখ্য ধন্যবাদ ভাই :)... http://fb.me/TzEVk72f 
",This is the first time I made a documentary for the sake of Rubel brother... :) Thank you bro :)... http://fb.me/TzEVk72f
"অসম্ভবকে সম্ভব করাই আমাদের বাংলাদেশের কাজ :P
",Making the impossible possible is the work of our Bangladesh :P
"শুভভভভভ সন্ধ্যা! :)
",Good evening! :)
"চট্টগ্রামে এ পজিটিভ ব্লাড চেয়ে একটা পোষ্ট দিছিলাম একটু আগে।ব্লাড ম্যানেজ হয়ে গেছে।সবাইকে ধন্যবাদ :)
",A little while ago I made a post asking for this positive blood in Chittagong. The blood has been managed. Thank you all :)
"চাঁদের মায়াবী আলোয় সব যেন গলে যায় :)
",Everything melts away in the magical light of the moon :)
"feeling দিল খোশ।
",feeling Dil Khosh
"just অসাধারন লাগতেসে...স্টোরি ইজ নট ফ্যাক্ট , অভিনয় এন্ড কস্টিউম অসাম হইছে । ...............
","just amazing Lagtes... story is not fact, acting and costume are awesome. .............."
"বাহ, মা মেয়ের জন্য কয়টা লাইক হবে? **রাজু** http://fb.me/1Eq7bR18Y 
","Wow, how many likes for mother daughter? **Raju** http://fb.me/1Eq7bR18Y"
"্কিং লিও নিজের কাজ শুরু করে দিলেন । হ্যাঁ । দুর্দান্ত এক গোল দিয়ে বার্সা কে এগিয়ে দিলেন :)
",King Leo began his work. yes Gave Barca the lead with a great goal :)
"#happiness is বাপ মায়ের হাসিমুখ! :)
",#happiness is the smiling face of father and mother! :)
"ছবিটা দেখে যেমন ভাল লাগছে, তেমনই মজাও পাইছি :) :D http://fb.me/1hHBGg9aq 
",Looking at the picture makes me feel good and am also having fun :) :D http://fb.me/1hHBGg9aq
"ভালোবাসি তারে যতন ও করে । ____chotoKobi :P
",Love him and take care of him. ____chotoKobi :P
"ইচ্ছা শক্তি ভেঙ্গে দিতে পারে সকল প্রতিবন্ধকতা!
",Willpower can break all obstacles!
"তোমাকে ভালবাসি কি না জানি না কিন্তু এটা জানি বার বার তোমার হাতটা ধরতে ইচ্ছে করে ? এটাই হয়তো ভালবাসা ...<3
",I don't know if I love you but I know that I want to hold your hand again and again? Maybe this is love...<3
"RT @bewahid: Happiness Is মায়ের মুখে হাসি।
",RT @bewahid: Happiness is smile on mother's face.
"আরবেলোয়া আর ডি মারিয়ার মধ্যকার বিল্ড আপটা অসাধারন ছিল :D
",The build up between Arbeloa and Di Maria was fantastic :D
"আমি তোমাকে ভালবাসি :) :) --> @shreyaghoshal
",I love you :) :) --> @shreyaghoshal
"ষাইফ ভাই লেগুনার পিছনে দাড়িয়ে থাকাটা বেশ মজার :D :D আরও মজার যদি ভাড়া না লাগে :v :v :v
",Shaif bhai standing behind laguna is quite fun :D :D even more fun if not for rent :v :v :v
"যাইহোক বিশেষ কারনে হাসতে ইচ্ছে করছে :D :D :D
","Anyway, I want to laugh for a special reason :D :D :D"
"আমি এডমিন হাসতে হাসতে শেষ :) Good Night http://fb.me/2maF8vbpA 
",I'm the admin laughing :) Good Night http://fb.me/2maF8vbpA
"﻿ট্রেইলারটা আসলেই আছাম। বাকিটা সিনামা হলে দেখার ইচ্ছা আছে :) http://fb.me/2M5CKryrh চরমস :p http://fb.me/2qFt1VRLV
",The trailer is really cool. I want to watch the rest in the cinema :) http://fb.me/2M5CKryrh Charms :p http://fb.me/2qFt1VRLV
"এটা আমার ১ম বাংলা লিখা :) শূভ রাত্রি
",This is my 1st Bengali writing :) Good night
"এক বন্ধুর বার্থডে উদযাপন করলাম, বন্ধুরা সবাই মিলে একসাথে অনেক আনন্দ করলাম। :)
","I celebrated a friend's birthday, all my friends had a lot of fun together. :)"
"শুভ সন্ধা :) http://fb.me/6u5nCdozY 
",Good evening :) http://fb.me/6u5nCdozY
"অসাম :)
",Assam :)
"To be old and wise, you must first have to be young and stupid. -আমার বাণি নহে । কিন্তু খাটি কথা কিন্তু :P
","To be old and wise, you must first have to be young and stupid. - Not my word. But seriously :P"
"awesome বৃষ্টি ... :)
",awesome rain... :)
"‘পৃথিবীর সবচেয়ে সৎ শহর হেলসিঙ্কি’ :) http://shar.es/Kx4Hd  via @sharethis
",'Helsinki is the most honest city in the world' :) http://shar.es/Kx4Hd via @sharethis
"বিশ্ববিদ্যালয় জীবনের যাত্রা শুরু :) goodby Electronics World! new world...Computer Science and IT.
",The journey of university life begins :) goodbye Electronics World! new world...Computer Science and IT.
"আমি নাকি ইনোসেন্ট তাও আবার ইমোশনাল ! ! #MAIRALA #LOL :p :p :p
",Am I innocent or emotional again! ! #MAIRALA #LOL :p :p :p
"হা হা হা...বোর হওয়ার থেকে কেউরে বোকা বানানো ভাল :D http://fb.me/OJfL6GQP 
",Ha ha ha...it's better to be fooled than bored :D http://fb.me/OJfL6GQP
"সাইক্লিং এমন একটা নেশা দিনে যদি দুইবার প্যাডেল না ঘুরাই শান্তি পাইনা #Happy_Cycling :)
",Cycling is such an addiction that if you don't pedal twice in a day you won't find peace #Happy_Cycling :)
"হে হে হে । যেমন শিক্ষণীয় তেমনিই মজার ছিলো। :p :v ;) http://fb.me/2QKnLIZRa 
",hey hey It was fun as well as educational. :p :v ;) http://fb.me/2QKnLIZRa
"নেইমার মামার গার্লফ্রেন্ড!! ভাল লাগলে লাইকান!! :D #Rocky http://fb.me/1Tw4bzL5a 
",Neymar's uncle's girlfriend!! Likan if you like!! :D #Rocky http://fb.me/1Tw4bzL5a
"আমাদের প্রিয় রিন্টু স্যার কাল পবিত্র হজ্জ্ব পালনের উদ্দেশ্যে পবিত্র মক্কাতে যাচ্ছেন । সবাই তার জন্য দোয়া করবেন :)
",Our dear Rintu Sir is going to Mecca tomorrow to perform Hajj. Everyone pray for him :)
"epic মুভিটা আসলেই epic...:-)
",epic movie is really epic... :-)
"টুইটিং এর এতো নেশা যে রাস্তা দিয়ে হাটতে হাটতে টুইট করি ..... lol :p (@ Ananda Bihar) http://4sq.com/1b1drV7 
",Tweeting is so addicting that I tweet while walking on the street.....lol :p (@ Ananda Bihar) http://4sq.com/1b1drV7
"মাথাই নষ্ট করে দিছে Google Web Designer। কি জিনিস বানাইছে (বীপ) ... খুশির ঠেলায় পুরাই চাঙ্গে উইঠা গেছি :D
",Google Web Designer has messed up. What's going on (beep) ... I'm all over the place with happiness :D
"টিটাগঢ় যাচ্ছি বাবার প্যান্ট কিনতে। আমারও কেনা হবে, এই আশায় ... হে হে :-)
","Going to Titagarh to buy father's pants. I'll buy it too, hoping...hehe :-)"
"Linkin Park এর A light that never comes প্রিভিউ ট্র্যাক টা সুনলাম ... জোশ লাগলো :)
",I listened to Linkin Park's A light that never comes preview track...I got excited :)
"হা হা হা হা হা হা হা।:D
",Ha ha ha ha ha ha ha. :D
"RT @bewahid: Happiness Is মায়ের মুখে হাসি।
",RT @bewahid: Happiness is smile on mother's face.
"জিলাপি !!! আহা, কি মজা :P http://fb.me/X4oqmcg3 
","Jellyfish!!! Ah, what fun :P http://fb.me/X4oqmcg3"
"চাঁদের মায়াবী আলোয় সব যেন গলে যায় :) http://fb.me/Me9ccs0n 
",Everything melts away in the magic light of the moon :) http://fb.me/Me9ccs0n
"yahooooooooooooooooooooooo!! :D কাদের মোল্লার ফাঁসির রায় কার্যকর হইছে। thanks to #awamileague govt :D
",yahoooooooooooooooooo!! :D Kader Mullah's death sentence has been executed. thanks to #awamileague govt :D
"আহহ! শান্তি :)
",Ahhh! peace :)
"জিনিসটাতো সেরাম মজার। ɐſoɯ
",The thing is very funny. ɐſoɯ
"উয়াও! হাউ হেল্পফুল ইউ আর! কিন্তু ম্যাম, আপ্নারে ধন্যবাদ, আপাতত আমার কমেন্ট না করতে পারলেও চলবে! :P @ নৈশাধা নীলাদ্রী
","Wow! How helpful you are! But ma'am, thank you, even if I can't comment for now! :P @ Naishadha Niladri"
"সানি লিওন যদি সানি দেওলকে বিয়ে করেন, তাহলে বিয়ের পর তার নাম কি হবে? l Lol :P
","If Sunny Leone marries Sunny Deol, what will her name be after marriage? lol :P"
"বড় ইচ্ছে হয় তোমার ওই আলতো টোটে দিতে একটা চুমুক :3 :v :D :-) :-x 8-)
",I really want to take a sip of that gentle tot of yours :3 :v :D :-) :-x 8-)
"﻿চশমিশ ফ্যামিলিতে স্বাগতম :)
",Welcome to Chashmish Family :)
"ফ্রম টুডে নো মোর Flirting :D ট্রাইং টু বি এ ভদ্র pola :p
",From today no more Flirting :D Trying to be a polite pola :p
"গোল করলেন আমাদের আদ্রিয়ানো মামু <3 নেইমার মাঠে নামার জন্য প্রস্তুত হচ্ছে :-) #RKB
",Our Adriano Mamu scored the goal <3 Neymar getting ready to take the field :-) #RKB
"কথাটা কিন্তু সত্য :) :) :) . . . নির http://fb.me/1Vl1rFxYh 
",But the word is true :) :) :) . . . Nir http://fb.me/1Vl1rFxYh
"পুরাই জিনিয়াস :P http://fb.me/WNE60v2u 
",Pure genius :P http://fb.me/WNE60v2u
"কোরবানী মোবারক :) http://fb.me/1Od5e3huh 
",Qurbani Mubarak :) http://fb.me/1Od5e3huh
"আশাকরি ভালো লাগলে শেয়ার করবেন :) http://fb.me/MuIj4hdz 
",Hope you like it and share :) http://fb.me/MuIj4hdz
"আজ সবাই অনেক ভাল অভিনয় করছে, আশা করি আগামী দিনও ভাল কাজ হবে। :) http://p.twipple.jp/WrwVI 
","Today everyone is acting very well, I hope the next day will be good. :) http://p.twipple.jp/WrwVI"
"কিছু কাজ ইচ্ছের বিরুদ্ধে করতে হয়, নিজের ভালোর জন্য!! :D
","Some things have to be done against your will, for your own good!! :D"
"আমি কুচি হইচি কাকা............।:P কালকে পরশু হরতাল কাক্কা......।। ঈদ এর মত ফিলিংস পাইতাচি
",Am Kuchi Hochi Kaka.............. :P Kalke Harshu Hartal Kaka........ Fillings are like Eid
"#np আজি ঝরো ঝরো মুখর বাদর দিনে। #favouritesong.:)
",#np Today is a very happy day. #favoritesong. :)
"লাষ্ট অফার পাইছি #পারসোনায় ১২% ছাড়(বোথ ফর পুরুষ এন্ড মহিলা).:P #gp #star.:D
",Got last offer 12% discount on #persona (Both for male & female). :P #gp #star. :D
"বসের জন্য কয়টা লাইক :D http://fb.me/1ow0YpxSH 
",How many likes for the boss :D http://fb.me/1ow0YpxSH
"বত্ব সিগারেট খাওয়া দিনে কমাইয়া দিসি . রাতেরটা কিন্তু ঠিকি আসে ;))
",Reduce the number of cigarettes consumed per day. But the night will come ;)
"ওয়াও ৫ টাকা ব্যালেন্স !!! এতো অসম্ভব..... : অসম্ভবকে সম্ভব করাই অনন্তের কাজ....... :p #Grameenphone
",Wow 5 taka balance !!! So impossible..... : Making the impossible possible is the work of infinity....... :p #Grameenphone
"A loving heart is the beginning of all knowledge. -_- - Thomas Carlyle তাইলে তো সবারই প্রেম করা উচিৎ :D >_<
",A loving heart is the beginning of all knowledge. -_- - Thomas Carlyle So everyone should love :D >_<
"হ্যালো #October :)
",Hello #October :)
"শুধু দেখলে হবে ... Like , Share -ও করতে হবে .. ;) :P http://fb.me/3kBcM0AqT 
","Just watch it... Like, Share too.. ;) :P http://fb.me/3kBcM0AqT"
"এটা আমার ১ম বাংলা লিখা :) শূভ রাত্রি
",This is my 1st Bengali writing :) Good night
"কখনও পুরোপুরি দেখা হয় নাই, তাই এবার ডাউনলোড করেই দেখতে বসলাম :)
","Never watched it in full, so I downloaded it and watched it :)"
"Happiness Is বাংলাদেশ ভারতের লগে জিতছে। Happiness দিগুণ হইয়া যায়
",Happiness Is Bangladesh is winning against India. Happiness doubles
"Happiness Is সারারাইত হেতির টাকা দিয়া আলাপ মারা
",Happiness Is talking to Heti money all night long
"যে গরম পরছে তাতে করে পুকুরে সাঁতার না কেটে উপাই নেই.… #Swimming time :))
","It's getting hot, there's no way not to swim in the pool.… #Swimming time :))"
"ভালবাসতে না জানলে জীবনের ১৬ আনাই ফাঁকি :) #WWs
","If you don't know how to love, you miss 16 years of life :) #WWs"
"রবার্ট গেছে ট্যুরে আমি আছি কাজ-কাম থেকে দূরে ! :P #ফিলিং রিলাক্স অ্যান্ড ফাঁকিবাজ !
","Robert went on tour, I'm away from work! :P #Feelingrelaxed and evasive!"
"কি মজা :D হরতাল এর চাদ আবার দেখা গেছে :P ফিলিং - থ্যানক্স গড, হরতাল ইস ব্যাক এগেইন :P :v
","What fun :D Hartal's chad is seen again :P Feeling - Thank God, Hartal is back again :P :v"
"গতকাল থেকে অডিও, ভিডিও মিলিয়ে জেমস এর নতুন গানটি প্রায় ৩০/৪০ বার শুনা হয়ে গেছে!! :) http://fb.me/141RCRDJp 
","James's new song has been listened to almost 30/40 times since yesterday, including audio and video!! :) http://fb.me/141RCRDJp"
"@itssumy একমত :))) আমার খুবই ফেভারিট একটা টেলিফিল্ম ^_^
",@itssumy agree :))) One of my very favorite telefilms ^_^
"মাঝে মাঝে আমার টাইমলাইনের টুইট গুলো দেখলে হাসি পায় । হয়রে আল্লাহ :D
",Sometimes I laugh when I see the tweets on my timeline. God willing :D
"টানা ২দিন হরতাল উপলক্ষে অফিস/ইউনিভার্সিটি ছুটি :D :D
",Office/University holiday on the occasion of strike for 2 consecutive days :D :D
"এই পথ দিয়ে যাবার সময় মনে হচ্ছিলো ছবির ভেতর আছি :) সকল কষ্ট প্রশান্তিতে রুপান্তরিত হয়ে গিয়েছিলো :) pic.twitter.com/JTO4MWPUuE
",I felt like I was in a movie while passing through this path :) All troubles turned into serenity :) pic.twitter.com/JTO4MWPUuE
"কবি বলে গেছেন- ত্যাগেই প্রকৃত সুখ । খারাপ বলেন নি ফুরফুরা লাগতেছে :D :D
",The poet has said - sacrifice is the real happiness. It's not bad
"না হয় খানিক ইচ্ছে করে হারিয়ে গিয়ে আসি আসবো না তা হয় কখনো ! খুব যে ভালবাসি ............... :)
",Or maybe I'll get lost and come back sometimes! Love it so much.............:)
"Happiness Is সারারাইত টুইট মারা
",Happiness Is Tweeting All Night
"বছরখানেক পরে ক্রিকেট খেইলা ছয়টা উইকেট পাইলাম,ছয়টাই বোল্ড...!! :D Feeling like Malinga...:P
","After a year of playing cricket, I got six wickets, all six bowled...!! :D Feeling like Malinga... :P"
"HAPPY HONEY FULL-MOON DAY!!!!!!!!!!!!!!!!!! শুভ মধু পূর্ণিমা!!!!!!!!!!!!!!!!!!!!!
",HAPPY HONEY FULL-MOON DAY!!!!!!!!!!!!!!!!!! Happy Honey Full Moon!!!!!!!!!!!!!!!!!!!!
"আজ পাপা_মাম এর ২৮তম #Anniversary :D <3 Happy Anniversary Papa & Mum <3 ^_^ <3
",Today is Papa_Mum's 28th #Anniversary :D <3 Happy Anniversary Papa & Mum <3 ^_^ <3
"অফিসের সব কাজ, ঝামেলা শেষ করলাম এখন ঢাকা যাব...বাড়িতে হা হা হা :))
","I finished all the office work, troubles, now I will go to Dhaka...home ha ha ha :))"
"ফালুদা খাওয়ালো একজন । যদিও এক্সপেরিমেন্টাল, তারপরও ভালো লাগলো । আবারো খেতে চাই । :)
","One ate Faluda. Although experimental, it still felt good. I want to eat again. :)"
"বাহ চুন্দর কথা !! জুকার মামু পুরাপুরিই আমাদের লাইনে, চইলা আসতাছে...(y) জুকার মামু প্রতিদিনই যা যা সংস্করন করছে,... 
","Wow, what a treat!! Zucker Mumu is totally in our line, Chaila is coming...(y) Zucker Mumu is updating every day,..."
"ঈদ আনন্দ মস্ত http://goo.gl/fb/sT5As 
",Eid Ananda Mast http://goo.gl/fb/sT5As
"আমি একটি @YouTube ভিডিও http://youtu.be/sPhhZg9v9NU?a  Priyanka Chopra - Exotic ft. Pitbull পছন্দ
",I watched a @YouTube video http://youtu.be/sPhhZg9v9NU?a Priyanka Chopra - Exotic ft. Love Pitbull
"জোস... হাহাপগে :D http://fb.me/1P2Ib1eDk 
",Jose... lol :D http://fb.me/1P2Ib1eDk
"What a match..!!!! Great Job Tigers, well played!!!! Carry on!!! জয় পাইলাম না তো কি হইছে ?? এই ম্যাচে এমন কিছু... 
","What a match..!!!! Great Job Tigers, well played!!!! Carry on!!! What happened if I did not win?? Something like this in this match..."
"জয় পাইলাম না তো কি হইছে ?? এই ম্যাচে এমন কিছু অর্জন করছে বাংলাদেশ টীম যা জয়ের থেকেও বেশী । best of luck Tigers.
",What happened if I did not win?? Bangladesh team is achieving something in this match which is more than winning. best of luck Tigers.
"অনেক প্রাপ্তির একটি টেস্ট....#BanvsNZ #Gazi #Showrav #WorldRecord #Alhamdulillah #happyFan #tigers #proud #Cricket
",A test of many achievements....#BanvsNZ #Gazi #Showrav #WorldRecord #Alhamdulillah #happyFan #tigers #proud #Cricket
"বৃষ্টির বদান্যতায় এখন আর আমাদের টেস্ট ম্যাচ ড্র করতে হয় না। :)
","Due to rain, we don't have to draw Test matches anymore. :)"
"(Dedicated to Bangladesh Cricket Team) খুশির তুফান খুশির তুফান উঠলোরে আজ খুশির তুফান উঠলো, লাল-সবুজের কেতন দেখ... 
","(Dedicated to Bangladesh Cricket Team) Storm of happiness, storm of happiness, storm of happiness today, look at the red-green..."
"বাঘের বাচ্চা @সোহাগগাজী। অসাধারণ সেঞ্চুরি! #BanVsNz #Cricket
",Tiger cub @sohaggazi. Amazing century! #BanVsNz #Cricket
"না দেখলে মিস করবেন বাংলার টাইগার দের খেলা গাজি ৯৫ অপরাজিত star cricket live watch online http://omybd.com/star-
","If you don't see it, you will miss Bengal Tigers' game Ghazi 95 unbeaten star cricket live watch online http://omybd.com/star-"
"গাজী-ই প্রথম.....গাজী-ই সেরা.... #BanvsNZ #Gazi
",Gazi is the first.....Gazi is the best.... #BanvsNZ #Gazi
"অনেক প্রাপ্তির একটি টেস্ট....#BanvsNZ #Gazi #Showrav #WorldRecord #Alhamdulillah #happyFan #tigers #proud 
",A test of many achievements....#BanvsNZ #Gazi #Showrav #WorldRecord #Alhamdulillah #happyFan #tigers #proud
"Man of the match : Sohag gazi সেঞ্চুরী , হ্যাটট্রিক , ম্যাচে ৮ উইকেট !! # R.E.S.P.E.C.T গাজী ভাই ...
","Man of the match: Sohag gazi century, hat trick, 8 wickets in the match!! #R.E.S.P.E.C.T Ghazi Bhai..."
"সোহাগ গাজী পোলা তো নয় যেন আগুনেরই গোলা! :P
",Sohag Ghazi Pola is not like a ball of fire! :P
"গাজী-ই প্রথম.....গাজী-ই সেরা.... #BanvsNZ #Gazi
",Gazi is the first.....Gazi is the best.... #BanvsNZ #Gazi
"yes yes !!!!!! :D এই রকম উইকেট এ হেট টিক !!!! ,<3 GAZI <3
","yes yes !!!!!! :D Hate tick on such a wicket !!!! ,<3 GAZI <3"
"কেন উইলিয়াম সন আউট NZ 200/3 Shohag Gazi strikes পুরাই ঝড়েবক ক্যাচ.... UD7
",Ken Williamson out NZ 200/3 Shohag Gazi strikes Purai hurabaka caught.... UD7
"গাজিই প্রথম, গাজিই সেরা! Cong' Gazi Bhai!
","Gazi is the first, Gazi is the best! Cong' Gazi Bhai!"
"টেস্ট ম্যাচ ড্র :D আমরা ভাল খেলসি (y) New Zealand 469 & 287/7d Bangladesh 501 & 173/3 (48.2 ov) MAN OF THE... 
",Test match draw :D We play well (y) New Zealand 469 & 287/7d Bangladesh 501 & 173/3 (48.2 ov) MAN OF THE...
"@SilverDisc3 হেহে। এখনি তো মৌসুম। দিতেই পারেন। ;))
",@SilverDisc3 Hehe. Now is the season. You can give ;))
"@SilverDisc3 ধন্যবাদ। ঃ))
",@SilverDisc3 Thanks. :))
"@SilverDisc3 আমি আর আমার প্রিয়তমা। =))
",@SilverDisc3 Me and my sweetheart. =))
"অভিনন্দন সোহাগ গাজী কে, বিশ্বের প্রথম ক্রিকেটার হিসেবে একই ম্যাচে সেঞ্চুরী ও হ্যাটট্রিক সহ পাঁচের অধিক উইকেট পেয়ে... 
","Congratulations to Sohag Ghazi, the first cricketer in the world to take more than five wickets in the same match with a century and a hat-trick..."
"Creed এই গানটা একটানা পঁয়তাল্লিশ বার শুনেছি একদিন! আমার সবচেয়ে ফেভারিট ইংরেজি গান
",Creed this song heard forty-five times in a row one day! My most favorite English song
"সূবর্ণার সৌভাগ্য! | বিয়ে: http://www.m.rtnn.net//newsdetail/detail/2/21/71082#.UkmPE65IZDg.twitter …
",Good luck to Suvarna! | Wedding: http://www.m.rtnn.net//newsdetail/detail/2/21/71082#.UkmPE65IZDg.twitter …
"Sms-Box পরিবারের সবাইকে ঈদ-উল-আজহার শুভেচ্ছা! , #FunnyBoy_Sumon http://fb.me/6qcqTNji4 
","Happy Eid-ul-Azha to all Sms-Box family! , #FunnyBoy_Sumon http://fb.me/6qcqTNji4"
"সবাইকে ইদ মুবারক
",Eid Mubarak everyone
"হাজার স্যালুট । একই টেস্টে সেঞ্চুরি এবং উইকেট নেয়ায় হ্যাট্রিক করে বাংলাদেশের ক্রিকেট ইতিহাসে এই প্রথম রেকর্ড... 
",A thousand salutes. This is the first record in the cricket history of Bangladesh by taking a hat-trick of centuries and wickets in the same Test...
"কুমড়ার স্বর্গ বলুন মাসাল্লাহ... সবই আল্লাহ্‌র ইচ্ছায় এতো সুন্দর। http://fb.me/6wOVftHNM
",Say the heaven of pumpkin masallah... everything is so beautiful by the will of Allah. http://fb.me/6wOVftHNM
"সুবাহানাল্লাহ ! ! রাত এর বেলায় পবিত্র কাবা শরিফ ! ! ! এই মুহূর্তে যারা অনলাইন এ আছেন সবাই লাইক দিয়ে শেয়ার... 
",Subhanallah! ! Holy Kaaba Sharif at night! ! ! Everyone who is online right now like and share...
"আইছে গাজীর ব্যাটা গাজী সেঞ্চুরী চাই চেইন-চুরী :D
",Aiche Gazi's Bata Gazi Century Chai Chain-Stealing :D
