translated_text_no_emoji,emoji_labels
I love you   --> @shreyaghoshal,[0]
Shaif bhai standing behind laguna is quite fun   even more fun if not for rent   ,"[0, 0]"
"Anyway, I want to laugh for a special reason   ",[0]
I'm the admin laughing  Good Night http/fb.me/2maF8vbpA,"[0, 3]"
The trailer is really cool. I want to watch the rest in the cinema  http/fb.me/2M5CKryrh Charms  http/fb.me/2qFt1VRLV,"[0, 0, 3]"
This is my 1st Bengali writing  Good night,[0]
"I celebrated a friend's birthday, all my friends had a lot of fun together. ",[0]
Good evening  http/fb.me/6u5nCdozY,"[0, 3]"
Assam ,[0]
"To be old and wise, you must first have to be young and stupid. - Not my word. But seriously ",[0]
awesome rain... ,[0]
'Helsinki is the most honest city in the world'  http/shar.es/Kx4Hd via @sharethis,"[0, 3]"
The journey of university life begins  goodbye Electronics World! new world...Computer Science and IT.,[0]
Am I innocent or emotional again! ! #MAIRALA #LOL   ,[0]
Ha ha ha...it's better to be fooled than bored  http/fb.me/OJfL6GQP,"[0, 3]"
Cycling is such an addiction that if you don't pedal twice in a day you won't find peace #Happy_Cycling ,[0]
hey hey It was fun as well as educational.    http/fb.me/2QKnLIZRa,"[0, 0, 0, 3]"
Neymar's uncle's girlfriend!! Likan if you like!!  #Rocky http/fb.me/1Tw4bzL5a,"[0, 3]"
Our dear Rintu Sir is going to Mecca tomorrow to perform Hajj. Everyone pray for him ,[0]
epic movie is really epic... ,[0]
Tweeting is so addicting that I tweet while walking on the street.....lol  (@ Ananda Bihar) http/4sq.com/1b1drV7,"[0, 3]"
Google Web Designer has messed up. What's going on (beep) ... I'm all over the place with happiness ,[0]
"Going to Titagarh to buy father's pants. I'll buy it too, hoping...hehe ",[0]
I listened to Linkin Park's A light that never comes preview track...I got excited ,[0]
Ha ha ha ha ha ha ha. ,[0]
RT @bewahid: Happiness is smile on mother's face.,[]
"Jellyfish!!! Ah, what fun  http/fb.me/X4oqmcg3","[0, 3]"
Everything melts away in the magic light of the moon  http/fb.me/Me9ccs0n,"[0, 3]"
yahoooooooooooooooooo!!  Kader Mullah's death sentence has been executed. thanks to #awamileague govt ,[0]
Ahhh! peace ,[0]
The thing is very funny. ɐſoɯ,[]
"Wow! How helpful you are! But ma'am, thank you, even if I can't comment for now!  @ Naishadha Niladri",[0]
"If Sunny Leone marries Sunny Deol, what will her name be after marriage? lol ",[0]
I really want to take a sip of that gentle tot of yours      ,"[0, 0, 0, 0, 2, 0]"
Welcome to Chashmish Family ,[0]
From today no more Flirting  Trying to be a polite pola ,"[0, 0]"
Our Adriano Mamu scored the goal  Neymar getting ready to take the field  #RKB,"[1, 0]"
But the word is true    . . . Nir http/fb.me/1Vl1rFxYh,"[0, 3]"
Pure genius  http/fb.me/WNE60v2u,"[0, 3]"
Qurbani Mubarak  http/fb.me/1Od5e3huh,"[0, 3]"
Hope you like it and share  http/fb.me/MuIj4hdz,"[0, 3]"
"Today everyone is acting very well, I hope the next day will be good.  http/p.twipple.jp/WrwVI","[0, 3]"
"Some things have to be done against your will, for your own good!! ",[0]
Am Kuchi Hochi Kaka..............  Kalke Harshu Hartal Kaka........ Fillings are like Eid,[0]
#np Today is a very happy day. #favoritesong. ,[0]
Got last offer 12% discount on #persona (Both for male & female).  #gp #star. ,"[0, 0]"
How many likes for the boss  http/fb.me/1ow0YpxSH,"[0, 3]"
Reduce the number of cigarettes consumed per day. But the night will come ,[0]
Wow 5 taka balance !!! So impossible..... : Making the impossible possible is the work of infinity.......  #Grameenphone,[0]
A loving heart is the beginning of all knowledge.  - Thomas Carlyle So everyone should love  ,"[0, 3, 2]"
Hello #October ,[0]
"Just watch it... Like, Share too..   http/fb.me/3kBcM0AqT","[0, 0, 3]"
This is my 1st Bengali writing  Good night,[0]
"Never watched it in full, so I downloaded it and watched it ",[0]
Happiness Is Bangladesh is winning against India. Happiness doubles,[]
Happiness Is talking to Heti money all night long,[]
"It's getting hot, there's no way not to swim in the pool.… #Swimming time )",[0]
"If you don't know how to love, you miss 16 years of life  #WWs",[0]
"Robert went on tour, I'm away from work!  #Feelingrelaxed and evasive!",[0]
"What fun  Hartal's chad is seen again  Feeling - Thank God, Hartal is back again  ","[0, 0, 0]"
"James's new song has been listened to almost 30/40 times since yesterday, including audio and video!!  http/fb.me/141RCRDJp","[0, 3]"
@itssumy agree )) One of my very favorite telefilms ,"[0, 3]"
Sometimes I laugh when I see the tweets on my timeline. God willing ,[0]
Office/University holiday on the occasion of strike for 2 consecutive days  ,[0]
I felt like I was in a movie while passing through this path  All troubles turned into serenity  pic.twitter.com/JTO4MWPUuE,[0]
The poet has said - sacrifice is the real happiness. It's not bad,[]
Or maybe I'll get lost and come back sometimes! Love it so much.............,[0]
Happiness Is Tweeting All Night,[]
"After a year of playing cricket, I got six wickets, all six bowled...!!  Feeling like Malinga... ","[0, 0]"
HAPPY HONEY FULL-MOON DAY!!!!!!!!!!!!!!!!!! Happy Honey Full Moon!!!!!!!!!!!!!!!!!!!!,[]
Today is Papa_Mum's 28th #Anniversary   Happy Anniversary Papa & Mum   ,"[1, 0, 3]"
"I finished all the office work, troubles, now I will go to Dhaka...home ha ha ha )",[0]
"One ate Faluda. Although experimental, it still felt good. I want to eat again. ",[0]
"Wow, what a treat!! Zucker Mumu is totally in our line, Chaila is coming...(y) Zucker Mumu is updating every day,...",[]
Eid Ananda Mast http/goo.gl/fb/sT5As,[3]
I watched a @YouTube video http/youtu.be/sPhhZg9v9NU?a Priyanka Chopra - Exotic ft. Love Pitbull,[3]
Jose... lol  http/fb.me/1P2Ib1eDk,"[0, 3]"
"What a match..!!!! Great Job Tigers, well played!!!! Carry on!!! What happened if I did not win?? Something like this in this match...",[]
What happened if I did not win?? Bangladesh team is achieving something in this match which is more than winning. best of luck Tigers.,[]
A test of many achievements....#BanvsNZ #Gazi #Showrav #WorldRecord #Alhamdulillah #happyFan #tigers #proud #Cricket,[]
"Due to rain, we don't have to draw Test matches anymore. ",[0]
"(Dedicated to Bangladesh Cricket Team) Storm of happiness, storm of happiness, storm of happiness today, look at the red-green...",[]
Tiger cub @sohaggazi. Amazing century! #BanVsNz #Cricket,[]
"If you don't see it, you will miss Bengal Tigers' game Ghazi 95 unbeaten star cricket live watch online http/omybd.com/star-",[3]
Gazi is the first.....Gazi is the best.... #BanvsNZ #Gazi,[]
A test of many achievements....#BanvsNZ #Gazi #Showrav #WorldRecord #Alhamdulillah #happyFan #tigers #proud,[]
"Man of the match: Sohag gazi century, hat trick, 8 wickets in the match!! #R.E.S.P.E.C.T Ghazi Bhai...",[]
Sohag Ghazi Pola is not like a ball of fire! ,[0]
Gazi is the first.....Gazi is the best.... #BanvsNZ #Gazi,[]
"yes yes !!!!!!  Hate tick on such a wicket !!!! , GAZI ","[1, 0]"
Ken Williamson out NZ 200/3 Shohag Gazi strikes Purai hurabaka caught.... UD7,[]
"Gazi is the first, Gazi is the best! Cong' Gazi Bhai!",[]
Test match draw  We play well (y) New Zealand 469 & 287/7d Bangladesh 501 & 173/3 (48.2 ov) MAN OF THE...,[0]
@SilverDisc3 Hehe. Now is the season. You can give ),[0]
@SilverDisc3 Thanks. ),[0]
@SilverDisc3 Me and my sweetheart. ,[0]
"Congratulations to Sohag Ghazi, the first cricketer in the world to take more than five wickets in the same match with a century and a hat-trick...",[]
Creed this song heard forty-five times in a row one day! My most favorite English song,[]
Good luck to Suvarna! | Wedding: http/www.m.rtnn.net//newsdetail/detail/2/21/71082#.UkmPE65IZDg.twitter …,[3]
"Happy Eid-ul-Azha to all Sms-Box family! , #FunnyBoy_Sumon http/fb.me/6qcqTNji4",[3]
Eid Mubarak everyone,[]
A thousand salutes. This is the first record in the cricket history of Bangladesh by taking a hat-trick of centuries and wickets in the same Test...,[]
Say the heaven of pumpkin masallah... everything is so beautiful by the will of Allah. http/fb.me/6wOVftHNM,[3]
Subhanallah! ! Holy Kaaba Sharif at night! ! ! Everyone who is online right now like and share...,[]
Aiche Gazi's Bata Gazi Century Chai Chain-Stealing ,[0]
Pola of Dhaka very very smart Patuakhilla Gazi very good very good but what about Pola of Cox's Bazar...,[]
Uffffffffff I love it http/fb.me/10EE5Il0s,[3]
Had fun waaaaaaaaaa http/fb.me/3p6eFgO8G,[3]
Sohag Ghazi Pola is not like a ball of fire! ,[0]
" Such an event has never happened before in Test cricket, a game of record cricket. It's time to keep breaking records. But that...",[0]
Happy Maha Navami  Dev Lovers Please LIKE : Dev http/www.fb.com/TheDevOfficial  http/fb.me/2rHuVLUVY,"[0, 3]"
Gazi's Hunkar on Gazi Television ,[0]
Cappuccino Coffee \m/ Mukta Apu Rocks ,[0]
Eid Mubarak to all  Wish everyone have a great day with their loved ones  feeling Everyone wishes so I do too  ,"[0, 0, 0]"
"Sohag did such Sohag, the whole lota has been caught! ",[0]
2 Char Tamim in a row  **Phantom Sniper**,[0]
"Let today be announced as Ghazi Day!  Ghazi's hat trick. Hattrick, 6 wickets and a century.",[0]
Sohag Gazi's job is to make the impossible possible  http/fb.me/1D4KT0ZIT,"[0, 3]"
"century, hat-trick, 5 wickets in the same match!!!! Gazi on Gazi TV started ki !!!   If Bangladesh regularly...",[0]
  Eid Mubarak   http/fb.me/2EogZkLqz,"[0, 3]"
This is the first time in super cricket performance history! ! !  #joyBangla http/fb.me/101mSSwLu,"[0, 3]"
Download : http/www.mediafire.com/?o2svsczbnm8xpgx …  Seeram a track  #hot,"[0, 0, 3]"
I am returning home  I am going back again.... Your address is on the banks of Chitrandi........  Khodahafez Dhaka City ,"[0, 3, 0]"
Sohag Ghazi Rocks !!!! The whole shook!!!  ,[0]
I became a fan of Gazi.  After this test I will quit television and watch nothing but Ghazi TV. Basai Gasi Tank Use...,[0]
I want to sing  There are empty guitars/pianos lying around the house  They need to be put to use ),"[0, 3, 3]"
"Woke up... when I looked outside, I saw that she was wearing a brishti... how much wthr sund0r... understand jacche no now noon! ",[0]
Sohag gaji moy homepage here there id-page-group everywhere gaji and gaji everyone is enjoying the gaji gaji gaji cheers  even me ,"[0, 0]"
"But my uncle's house is Gazipur, don't you think about it!!!  Hats off to you Sohag Ghazi. (y)",[0]
I became a journalist for a day  Everyone thinks I'm a journalist after seeing my style of taking photos and keeps making various requests ,"[0, 0]"
Roar Bangladesh ,[0]
Good afternoon everyone ,[0]
"Gazi Gazi Sohag Gazi, Sohag Gazi. . century with a hattrick... very proud of u Sohag Ghazi ",[0]
What do Gazi Kiwis think... ,[0]
6 wickets including a hat-trick after the century. Sohag 'Gazi' made New Zealand a 'martyr'! ,[0]
Footsteps of another world's best all-rounder in the Bangladesh cricket team!  [Disclaimer: This is not a political party achievement!],[0]
"Gazi, you are very stupid. You are eating kiwi roast alone. Century and hat-trick together. ",[0]
"Gazi, what did you do? Man of the match! 6 wickets with a hat-trick as the first Bangladeshi after the maiden century! ",[0]
Had fun waaaaaaaaaa http/fb.me/3p6eFgO8G,[3]
"Eid Mubarak again, for those brothers who are not able to chat offline, there will be an emo of kolakuli .",[0]
I shop alone. Fun is different!,[]
May Eid bring joy in everyone's life... Happy Eid Ul Azhar to everyone... Eid Mubarak   ,[0]
Is everyone eating meat properly?????  Hamba Mubarak to all  http/fb.me/2Hml74I5Z,"[0, 3]"
@jeet30 mate on @JalshaMovies & my mother's oath on #Sony8 & then two Prithibees uff what a day Boss  ,"[0, 4]"
Team Australia back in form    Very happy for them    Even more happy because India re bashan detse ...,"[0, 0]"
"Having won the great war with cows and meat, I will now take a nap. -feeling peace  ",[0]
Feeling Eid Eid. The miking of Eid prayers is going on all around.,[]
"Sometimes the sound of a voice takes away all the tiredness, pain, pride, and sadness of my whole day. —feeling special",[]
"A crescent moon in the sky, a calm river in front. With Gold Leaf, Benson, Black. #feeling home  ",[0]
I made the first application in my life for Windows Phone. Very good Feeling Happy ,[1]
Happy Eid to all — feeling blessed. http/fb.me/WLzkit3k,[3]
Chandpur estuary enchanted by the charming cloak of the half moon. 󾌸 Feeling Chandrima at Chandpur,[]
Out of Dhaka now on vacation  -  feeling,"[0, 5]"
I feel like a poet . It seems like a poet who expresses his feeling,[]
once again #Ghazi!!! supper tremendous hattrick!!! feeling- speechless with joy!!! Crazy crazy!!!,[]
"Going home, for Eid. #feeling_too_much_happy",[]
Today was a very busy day. I came from work and went to college. I came back home late. Now I am sitting and watching TV. Right now feeling wonderfull,[0]
Almost standing on the runway. #Feelingwonderful ,[5]
.,[]
" Eid Mubarak  I wish everyone a good Eid. Stay well, Eid Mubarak. Happy Eid to all.",[6]
€!D_____________________MüBáRàK Today is the holy Eid-ul-Azha. Today is a day of joy for all Muslims. On Eid-ul-Azha... http/fb.me/2sZkjyJIn,[3]
"A very happy ""Eid MuBaRaK"" to all, looking forward to eating your beef at my house.",[]
"Happy Eid Mubarak to all, Eid Mubarak........",[]
"Happy Eid-ul-Azha to all ""Eid Mubarak""",[]
Assalamu Alaikum Wa Rahmatullahi Wa Barakatuhu Happy Eid-ul-Azha to everyone. Eid mubarak,[]
Happy Eid to all.,[]
"Bare feet, headphones in the ears…",[]
"@idevadhikari ( I-LOVE-U-DEV , ) forever n Rangbaaz Superhit Rangbaaz Superhit Rangbaaz Superhit 5",[]
"Reunited with mom and dad after about two months  Now just play games comfortably. I don't care about food now, mom ",[0]
"The grumpy thing is really funny. Feels like a kid… dama, da, botty rocks ",[0]
   New one word expression...  It http/fb.me/25Ykw29g6,"[1, 0, 3]"
Happy birthday dear poet Rudra Muhammad Shahidullah (Rudra Muhammad Shahidullah),[]
Holy Eid-ul-Azha in the joy of sacrifice: Eid Mubarak! http/dlvr.it/48JzSh,[3]
"I'm sitting on the roof with heavy rain, feeling great fun!",[]
@jeet30 Eid Mubarak & Good Night JeeT ,[0]
@jeet30 [once again] ~Happy Vijaya Dasami~ Take my bow. Stay well Jeet ),[0]
I made the first application in my life for Windows Phone. Very good Feeling Happy ,[1]
May Eid bring endless joy in our lives. Eid Mubarak to all. Very happy EID MOBARAK.,[]
"Without you, the afternoon would not be so sweet!  hats off to #Ghazi, d real Ghazi! feeling both proud and relieved! a~hhh! ",[0]
This pond is next to our house. I will fish here. So I bought Bashi. feeling happy http/fb.me/38uO3TrSv,[3]
Alhamdulillah. I managed to reach home safely. A beautiful trip in a very short time. feeling happy together,[]
Ha ha poor Iniesta  [[cristiano]] #C_RAJ_7 [[cristiano]] http/fb.me/19t6BvP8M,"[0, 3]"
I downloaded a very funny bangla rap song today ) It's a bit adult type  So I'm wondering if I should share the link  ,"[0, 0]"
Aishwarya and her cute daughter  http/fb.me/1l1guV19D,"[0, 3]"
"Let's not get lost, let's get together, today I will break all the obstacles in the wind, today I will hold your hand... ",[0]
"ABC Radio FM 89.2 ""Our Talk""  http/fb.me/1ZPCZUMcy","[0, 3]"
Big Little Niece and Little Little Niece  http/fb.me/2etCwcswM,"[0, 3]"
creation means creation ,[0]
Elano  He was one of the players of the Brazil team in the 2010 World Cup. Like if you remember boss. #JIQU http/fb.me/2nQbhe4Hf,"[1, 3]"
"Very expensive Punjabi . Thukku, precious water... - http/pixb.ly/1ctyIsc","[0, 3]"
Our aloe plant is blooming ,[0]
"When a girl says I LOVE U to a boy, the boy says I LOVE U TO But  | | | | | When a Bangladeshi boy... http/fb.me/3bUH6IOPu","[1, 3]"
Best left back ever Sir Roberto Carlos  FANS 200+ LIKES #RKB http/fb.me/6uoC2NYse,"[1, 3]"
"The luxury of the Prophet (PBUH)!!! On the authority of Umar (ra), he said, I am the Messenger of Allah, may God's prayers and peace be upon him... http/fb.me/6IOMfRF5A",[3]
@FalguniKlara Falguni Apu your bio is extreme... ,[0]
"The intention is good, the desire is good.....Congress's bakhliale rice, leaders are good too  #मोडी #देवब॰याकंफुज़ोजन #कीबाहोयपिच़लोई ","[0, 0]"
Bangla Optical Character Reader ... http/fb.me/2a6hLn5At,"[0, 3]"
"""If there is a slight fear in love, that love is sweet.. because, fear of loss.. love for the loved one increases""!!",[1]
Last night Lucas Piazon scored 1 goal & 2 assists for Dutch club Vitesse and won the team  Like ?? #RKB http/fb.me/14PFSZaRh,"[0, 3]"
"By making an ax handle from a tree branch, people cut that tree with that ax. Humans are big ungrateful creatures. ",[0]
A bachelor's degree will not be lost without completing the bachelor's degree.   What's your plan?,"[0, 0]"
"Brother is going to his friend's house for group study.. Mom says ""Satike tell me which girl are you going to meet?""  ","[0, 0]"
"Is love a toy?  I wish I played, I wish I broke it?   I heard many people say that I will break up with her... http/fb.me/6nqOlzx35","[0, 0, 3, 3]"
This gentleman with street children went into expensive fast food to eat all together ...... Salute  http/fb.me/17jSgQwYQ,"[1, 3]"
A little mischief with the camera    http/fb.me/2zu15KGjG,"[0, 3]"
This is the best picketing I know  http/fb.me/1OazV9019,"[0, 3]"
A Nikon 18-55mm lens for sale. Interested contact Fayek Tasneem Khan  http/fb.me/2KMTT9gKv,"[0, 3]"
Sunnah... it's not a choice! It's a must!   Sahabagan used to do all those things with deep passion and love whatever... http/fb.me/1cnhaPJ2c,"[1, 7, 3]"
how FunNnny??  Youth generation leader Shahbag Ganjagaran Manch convener Bangladesh (2nd liberation war) announcer Mr. Imran... http/fb.me/AH6Zdb2P,"[0, 3]"
Quote of the Day  A writer is someone for whom writing is more difficult than others. .....Thomas Mann (German novelist),[0]
Josh!  http/fb.me/20LTFvmBj,"[0, 3]"
"Maximum director comes late to shooting spot, Aisa calls assistants again ",[0]
Good morning everyone…  ,[0]
What's the best thing that happened to you today? — Rebirth of Sound box I was in pain after pressing for so long  http/ask.fm/a/a0qohh96,"[0, 3]"
"Say hero, say ever-elevated mom Shir, Shir Nehari nat Shir that peak of Himadri. - Poet Kazi Nazrul Islam #SRK_JAN ",[1]
"Share with us the story of your first acquaintance with Humayun Sir's book  If you want, you can also message the page! ",[0]
#himu best love quotes ever !! | | | | | | | | | | | Do you know you are eating rice?  ,[0]
Who is fasting today?? ,[0]
"Roast beef with hot rice. After that, the wife again put food in her mouth. What could be a better morning than this?? good morning friends ",[0]
 Good Morning  http/fb.me/TtMbGVa3,"[0, 3]"
Zero cows are better than evil cows !!!! Now the cow house is being cleaned.  ,[0]
Good job Ravi. Keep it free for a few more days ,[0]
Like Our Jokes Page  ---------------------------  Medicine of laughter - you will understand if you eat it ... http: //fb.me/PJWNU85L,"[0, 8]"
"Today 8th December is Comilla Independence Day. On this day in 1971, Pak Hyena was freed from our Comilla ",[0]
Why do you not like the page? ॥ Sikandar Box is now on Facebook.  Sikandar Box   Sikandar... http/fb.me/3iraJa3VJ,"[1, 3]"
Abo-tal  Pasand Haise! There is a fusion fusion feeling!  http/fb.me/6PwHQEGn7,"[0, 0, 3]"
Good morning guys!!! Have a nice day.....,[0]
Cold cold cold wind 3 What can you do to touch me  Love the soft caress of the sheet  I keep this around me  Cold cold cold wind ,"[0, 0, 0, 0]"
Matikantha Samachar  http/fb.me/3dGlXQMFg,"[0, 3]"
Tea is the power of our energy  http/fb.me/2dk8HkuB3,"[0, 3]"
"15 days before the exam, I could not wake up before 9 o'clock despite my best efforts. What irony of destiny! Now I get up at 8 o'clock and sit on Facebook ",[0]
"Late night meat burning status status Facebook is absolutely kebab  God give you the strength to bear this grief of little Polapine, Ameen.",[0]
Last border of Khilgaon to Uttara Airport  I had a restless bike ride  After 9 hours of cycling now... http/fb.me/34dgVKvaQ,"[0, 3]"
Good Morning Deobariya ,[0]
good morning ,[0]
Best wishes for a beautiful breakfast jainya to my little brother Mehedee Hasan... ,[0]
"If you do not sleep, Rasool (SAW) listens to a speech and sleeps...!!! Narrated Aisha (RA): “The Messenger (PBUH) used to sleep every night... http/fb.me/WmFajUKh",[3]
I blew the love I kept for you in some nameless poem.  pic.twitter.com/e8cQpvY7D8,[0]
Ershad sahib speaks beautifully... ... http/fb.me/326wPTxSe,"[0, 3]"
Fatapat (what else like Indians) I killed a few toasts and a mug of dud tea... Ettu Vallagche that Thakurpo! ,[0]
Good Morning Tweets ,[0]
"It takes 30 years for the children of a rich family to grow up. And the children of the poor grow up in 10 years. Thanks a lot, I am 20 years ahead of Dhani's brokers ",[0]
Keo Amare Myraala......  http/fb.me/1vtnDLBtA,"[0, 3]"
I am Bangladeshi. I love my country,[]
Many people think that the most beautiful words in the world are *I LOVE YOU*. But even more favorite saying is when someone... http/fb.me/2fsg1Lb1L,[3]
Heartiest congratulations to the people of Comilla from I Love Bangladesh..... http/fb.me/1a7uPuhUb,[3]
"Don't forget to like I Love My Maa, an awesome page for Maa fans",[]
"If you like it, visit this page. SWEET LOVE SWEET LOVE SWEET LOVE",[]
LOVE THIS ........ You are silent in the heart of the heart. Mom life youth mom Akhil... http/fb.me/6jkA3yE1M,[3]
"I am raw in English, but I can say I LOVE YOU. I'm raw in geography, but can tell where my heart is... http/fb.me/PNO6sLV4",[3]
"Does it take a special person to give love... What happens if you give it to everyone, love never ends... I love you all..",[]
love Jamdani and Tangail Taater Saree Shantiniketan Dhakai Jamdani and Muslin Published Date: 06/12/2013 12:06:57... http/fb.me/LnBhUEb6,[3]
sondor sundor jocks and love story pete akhon a ai page a like din.... you only mine you only mine you only... http/fb.me/2ukaH6RoK,[3]
My new angelfish are extremely shy. I actually ran under the jar tree. Love these little #Angels...,[]
You are my kite... fly in my hand... fly wherever... my sky is full... Love u .... Miss u so much.....,[]
We Are Friends Because We Love Cinema - EI-Samay http/eisamay.indiatimes.com/entertainment/cinema/we-are-friends-because-we-love-cinema/articleshow/26947711.cms … via @Ei_Samay,[3]
Many people think that the most beautiful words in the world are *I LOVE YOU* but even more beloved words are when someone tells you *I LOVE YOU TOO*,[]
Pls like this page sensitive love,[]
Bangladesh U 19 vs Westends U 19 Bangladesh U-19--222/9 over-50 join- We love Bangladesh cricket team,[]
Good morning everyone. I stayed up all night yesterday listening to the love story of Tamim Bhai and Ayesha Bhabhi. I had a lot of fun. Who is their tomorrow... http/fb.me/24Py2lfnM,[3]
Uffffff what a blessing to have a cycle..  I love my cycle ,"[0, 1]"
"I really want to say I love you to someone. Hey rANa, I love you man...",[]
Listen to Tamim / Ayesha 2 of them now on Dhaka FM 90.4! Hope no one misses!! Join-? We love Bangladesh cricket team,[]
1 page of Love or funn so plz like... Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love,[]
@shreyaghoshal I love u.....shreya ghoshal so much.,[]
"like this joke and love page like dia active thakun.Facebook Pathshala, come everyone have fun in Facebook Pathshala,... http/fb.me/1QV2Mq9MG",[3]
Love is rocking,[]
"If I have to vote, I will vote for Arshad Kaku... You won't find a funny person like him in the whole world... I Love Arshad Kaku You?",[]
How fast do you fall in love? (Not my question. Picked a random question) — Depends...  http/ask.fm/a/a081eo2n,"[0, 3]"
"Talk about love and love. To get love tips, like this page plz. Color of love. Color of love. Color of love.",[]
https/www.facebook.com/ILoveALLAFFanPageOffical … The username shows when this page is called “I Love Allah”… http/fb.me/VYTpSG6n,[3]
Our beloved Mir @We_Love_Mir brother. https/www.facebook.com/photo.php?fbid=1395641957346808&set=a.1395641650680172.1073741836.100007030509894&type=3&l=305fe55faf&permPage=1 …,[3]
"Happy Independence Day to u Comilla. Today 8th December is Comilla Independence Day. On this day in 1971, our... http/fb.me/6AfQynwZr",[3]
"@s_muntaha13: Where the end is before the beginning can be said / I have a habit of looking for it...""""Good.",[]
"Ok, bye, stay well....stay healthy Good Night _ Rj Sowrov/ Kathabandhu Sourav",[]
feeling  Purai Pankha  What's with so much thinking ... this is how life is going on.,[0]
A good assessment. I do agree... The things that girls notice are lifestyle 23 Agrahayana 1420 |... http/fb.me/6x37e6ws8,[3]
"The hair and beard have grown, the face has a Rabindranath-Rabindranath feeling #feeling Rabindranath Tagore",[]
My appeal to Christian brothers and sisters - http/www.new-muslims.info/bd/new-muslim-experience/feeling/khristan/ …,[3]
Hi friends GOOD MORNING Who wakes up like me and chats on fb? . ...............Answer,[]
#with_buddies #feeling_cold _GoOd MoRnInG FrIeNdZ_,[]
"Now to some ( 5:25 AM) #GoodNight and to some #GoodMorning,,,,, which one to me,,,,, Good Night to me,,,, ok good night everyone.",[]
Sleep is coming. I fell asleep ££££££Good££££££££££££££Night£££££££,[]
~ Good Night ~ ~{  }~ http/fb.me/1wH4reLLm,"[9, 3]"
#good_night_Shubratri When I go to sleep at 10 or 3 in the night for some reason I fail to sleep enough. pic.twitter.com/eHhcjAwepl,[]
Is friendship always a blessing? http/www.bdnewstimes.com/is-friendship-always-good/… via @wpbeginner,[3]
